ENCORE 2018-2023 version,ENCORE 2024 version,Notes
Impact drivers,Pressures,
Disturbances,"Disturbances (e.g noise, light)",
Freshwater ecosystem use,Area of freshwater use ,
GHG emissions,Emissions of GHGs,
Marine ecosystem use,Area of seabed use ,
Non-GHG air pollutants,Emissions of non-GHG air pollutants ,
Other resource use,"Other biotic resource extraction (e.g. fish, timber) ",
Other resource use,Other abiotic resource extraction,
Soil pollutants,Emissions of toxic pollutants to water and soil,"In the 2024 version of the ENCORE knowledge base, soil and water pollutants are split into ""Emissions of toxic pollutants to water and soil"" and ""Emissions of nutrient pollutants to water and soil""."
Water pollutants,Emissions of toxic pollutants to water and soil,"In the 2024 version of the ENCORE knowledge base, soil and water pollutants are split into ""Emissions of toxic pollutants to water and soil"" and ""Emissions of nutrient pollutants to water and soil""."
Soil pollutants,Emissions of nutrient pollutants to water and soil,"In the 2024 version of the ENCORE knowledge base, soil and water pollutants are split into ""Emissions of toxic pollutants to water and soil"" and ""Emissions of nutrient pollutants to water and soil""."
Water pollutants,Emissions of nutrient pollutants to water and soil,"In the 2024 version of the ENCORE knowledge base, soil and water pollutants are split into ""Emissions of toxic pollutants to water and soil"" and ""Emissions of nutrient pollutants to water and soil""."
Solid waste,Generation and release of solid waste,
Terrestrial ecosystem use,Area of land use,
Water use,Volume of water use ,
Biological interferences/alterations,Introduction of invasive species,
