Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Downstream tier 1 (ISIC Division/Group/Class),ISIC level used for downstream tier 1 link,Downstream tier 2 (ISIC Division/Group/Class),ISIC level used for downstream tier 2 link
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Final consumption category,Final consumption category,Final consumption category,Final consumption category
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Final consumption category,Final consumption category,Final consumption category,Final consumption category
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Final consumption category,Final consumption category,Final consumption category,Final consumption category
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Final consumption category,Final consumption category,Final consumption category,Final consumption category
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Final consumption category,Final consumption category,Final consumption category,Final consumption category
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Growing of rice,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Growing of rice,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Growing of rice,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Post-harvest crop activities,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Seed processing for propagation,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Growing of rice,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Growing of rice,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Growing of rice,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Post-harvest crop activities,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Seed processing for propagation,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Seed processing for propagation,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Seed processing for propagation,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Growing of rice,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Growing of rice,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Growing of rice,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class,Growing of rice,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Seed processing for propagation,ISIC Class,Growing of rice,ISIC Class
