Country,Country Dependency Score,Total Monetary High Dep (m Euros),GVA % High Dep,GVA Value High Dep (m Euros),IVA % High Dep,IVA Value High Dep (m Euros)
ES,60.82,800435.31,65.94,737188.81,31.93,63246.50
GR,58.47,119032.74,64.73,107065.21,31.36,11967.53
LT,57.44,37971.88,69.20,34440.54,21.62,3531.34
SI,56.73,36159.20,60.21,28312.46,46.94,7846.75
IT,56.32,1087138.29,60.93,1011808.05,27.95,75330.24
AT,56.21,273137.84,59.12,225261.53,45.64,47876.31
HR,53.87,34723.75,61.41,30898.26,27.05,3825.49
HU,53.38,111394.80,60.84,83723.42,38.94,27671.38
SE,51.36,305709.49,58.01,277844.84,23.96,27864.65
DE,51.01,2056152.77,53.75,1830294.60,36.11,225858.17
LV,50.58,20711.45,52.27,15834.03,45.79,4877.42
PL,50.52,335661.16,56.95,298893.80,26.33,36767.36
DK,50.37,202294.22,48.99,152350.92,55.13,49943.30
FR,49.34,1288668.44,54.10,1249978.86,12.85,38689.57
RO,48.67,131966.49,54.96,120955.45,21.57,11011.04
BG,48.36,39294.45,55.13,33904.73,27.28,5389.72
NL,47.87,516806.61,50.36,401139.87,40.85,115666.74
CY,47.28,14813.39,50.17,10984.51,40.58,3828.88
FI,46.86,138521.86,46.40,110460.45,48.77,28061.41
BE,46.71,324917.43,48.79,224367.53,42.65,100549.89
PT,46.23,113063.81,50.37,100996.97,27.38,12066.84
IE,45.17,287031.83,62.43,232764.49,20.67,54267.34
SK,41.16,59560.13,49.91,46625.29,25.22,12934.84
CZ,39.68,122160.63,53.76,115762.53,6.92,6398.11
EE,35.97,14643.53,43.80,12028.71,19.74,2614.82
LU,35.22,48404.55,57.53,37270.07,15.33,11134.48
MT,34.78,8810.86,62.82,8269.45,4.45,541.41
