,,GVA Dependency,GVA Dependency,GVA Dependency,IVA Dependency,IVA Dependency,IVA Dependency
Country,Sector,High,Medium,Low,High,Medium,Low
AT,Forestry,1226.03,0.00,0.00,0.00,27.62,0.00
AT,Agriculture,3446.45,0.00,0.00,1047.90,387.17,0.00
AT,Fishery and aquaculture,39.37,0.00,0.00,20.28,0.00,0.00
AT,Food beverages and tobacco,9540.37,0.00,0.00,5537.01,705.31,0.00
AT,Heat utilities,0.00,3.93,0.00,0.00,138.37,0.00
AT,Construction,26976.31,0.00,0.00,10967.28,0.00,0.00
AT,Electricity,2621.08,6349.91,0.00,703.58,411.22,0.00
AT,Water utilities,794.97,0.00,0.00,1.83,2.65,0.00
AT,Supply chain and transport,17492.15,11482.09,0.00,3733.76,129.42,0.00
AT,Chemical and materials industry,4721.35,39219.42,0.00,12530.92,11945.92,0.00
AT,Aviation travel and tourism,16301.23,0.00,0.00,2021.66,747.87,0.00
AT,Real estate,29922.22,0.00,0.00,3157.71,0.00,0.00
AT,Mining and metals,504.42,0.00,0.00,140.44,37.08,0.00
AT,Retail consumer goods and lifestyle,17135.31,18387.12,0.00,1982.69,2135.25,0.00
AT,Oil and gas,0.00,327.39,0.00,0.00,2770.60,0.00
AT,Automotive,2137.39,8474.81,0.00,0.00,9267.05,0.00
AT,Healthcare delivery,29513.30,0.00,0.00,3578.75,0.00,0.00
AT,Electronics,0.00,1694.55,0.00,0.00,5579.96,0.00
AT,Information technology,0.00,0.00,5574.77,0.00,2563.38,0.00
AT,Insurance and asset management,0.00,0.00,5576.99,0.00,617.05,0.00
AT,Banking and capital markets,0.00,0.00,9607.42,0.00,282.38,0.00
AT,Digital communications,0.00,0.00,8800.35,0.00,1129.44,0.00
AT,Public services and others,62889.58,14488.16,25792.74,2452.49,18144.47,0.00
BE,Forestry,117.77,0.00,0.00,0.00,108.05,0.00
BE,Agriculture,4099.26,0.00,0.00,926.43,61.91,0.00
BE,Fishery and aquaculture,58.07,0.00,0.00,0.00,39.61,0.00
BE,Food beverages and tobacco,11893.59,223.67,0.00,22175.99,0.00,0.00
BE,Heat utilities,0.00,16.54,0.00,0.00,1.45,0.00
BE,Construction,26415.51,0.00,0.00,28079.23,0.00,0.00
BE,Electricity,522.42,5443.29,0.28,0.00,1815.27,0.00
BE,Water utilities,1747.21,0.00,0.00,0.00,345.83,0.00
