,Instrument,Ticker Symbol,Date,LSEG ESG Score,Date,Social Pillar ESG Score,Date,Governance Pillar ESG Score,Company Green Revenue Percentage,Estimated EU Taxonomy Aligned Company Green Revenue Percentage,Biodiversity Targets,Biodiversity Commitment,Biodiversity Impact Reduction Score,Biodiversity Theme Score,Biodiversity Theme Materiality Level,Climate Transition Theme Score,Climate Transition Theme Materiality Level
0,ALVG.DE,ALV,2024-12-31,4.228188,2024-12-31,4.5,2024-12-31,4.285714,0.0,0.0,False,True,,3,0,4,0.75
1,ZURN.S,ZURN,2024-12-31,3.560403,2024-12-31,2.0,2024-12-31,3.642857,0.0,0.0,False,False,,1,0,5,0.75
2,BBVA.MC,BBVA,2025-12-31,4.181208,2025-12-31,4.0,2025-12-31,4.142857,0.0,0.0,False,True,,3,0,5,0.75
3,REL.L,REL,2024-12-31,4.440828,2024-12-31,4.25,2024-12-31,4.785714,0.0,0.0,False,False,,1,0,3,0.75
4,HSBA.L,HSBA,2024-12-31,3.805369,2024-12-31,3.0,2024-12-31,4.142857,0.0,0.0,False,False,,1,0,3,0.75
5,RR.L,RR.,2024-12-31,3.519231,2024-12-31,3.857143,2024-12-31,3.5,7.179,2.393,False,False,0.0,0,0.25,4,0.75
6,AXAF.PA,CS,2024-12-31,3.459732,2024-12-31,3.5,2024-12-31,3.214286,0.0,0.0,True,True,,4,0,5,0.75
7,ENEI.MI,ENEL,2024-12-31,4.112766,2024-12-31,4.142857,2024-12-31,3.9,14.4731,12.7785,True,True,61.2244897959184,4,0.25,5,1
8,SASY.PA,SAN,2024-12-31,3.634312,2024-12-31,4.0,2024-12-31,3.230769,0.0,0.0,True,True,85.7461024498886,4,0.25,3,0.75
9,ASML.AS,ASML,2025-12-31,4.242788,2025-12-31,5.0,2025-12-31,3.875,0.0,0.0,False,True,87.4087591240876,3,0.25,4,0.75
10,ULVR.L,ULVR,2024-12-31,4.143868,2024-12-31,4.25,2024-12-31,4.375,0.0,,True,True,83.1730769230769,4,0.25,5,0.75
11,UBSG.S,UBSG,2024-12-31,4.516779,2024-12-31,3.5,2024-12-31,4.714286,0.0,0.0,False,False,,0,0,5,0.75
12,CRDI.MI,UCG,2024-12-31,3.600671,2024-12-31,3.5,2024-12-31,3.642857,0.0,0.0,False,True,,2,0,4,0.75
13,RIO.L,RIO,2024-12-31,3.906561,2024-12-31,3.857143,2024-12-31,3.923077,1.6378,,True,True,69.2179700499168,5,0.75,5,1
14,TTEF.PA,TTE,2024-12-31,4.250464,2024-12-31,4.428571,2024-12-31,3.769231,1.6728,1.6728,True,True,66.1458333333333,5,0.75,5,1
15,AZN.L,AZN,2024-12-31,3.544018,2024-12-31,2.428571,2024-12-31,3.846154,0.0,0.0,True,True,85.7461024498886,5,0.25,5,0.75
16,BATS.L,BATS,2025-12-31,4.434091,2025-12-31,4.571429,2025-12-31,4.625,0.0,0.0,True,True,73.5091743119266,5,0.75,4,0.75
17,ESLX.PA,EL,2024-12-31,2.841683,2024-12-31,3.125,2024-12-31,2.615385,0.0,0.0,False,False,0.0,2,0.25,3,0.75
18,INGA.AS,INGA,2024-12-31,3.469799,2024-12-31,3.5,2024-12-31,3.571429,0.0,0.0,False,True,,3,0,4,0.75
19,ROPC.S,ROP,2025-12-31,3.485327,2025-12-31,3.142857,2025-12-31,3.692308,0.0,0.0,True,True,85.4875283446712,3,0.25,4,0.75
20,NOVN.S,NOVN,2024-12-31,3.632054,2024-12-31,3.714286,2024-12-31,3.615385,0.0,0.0,False,False,85.7461024498886,1,0.25,5,0.75
21,ISP.MI,ISP,2024-12-31,4.130872,2024-12-31,4.0,2024-12-31,4.071429,0.0,0.0,False,False,,1,0,5,0.75
22,PRX.AS,PRX,2025-03-31,3.43083,2025-03-31,2.5,2025-03-31,3.636364,0.0,0.0,False,True,,3,0,4,0.75
23,SHEL.AS,SHELL,2024-12-31,4.051948,2024-12-31,4.285714,2024-12-31,4.307692,10.6042,10.0878,False,True,66.1458333333333,3,0.75,5,1
24,NG.L,NG.,2025-03-31,3.919149,2025-03-31,3.428571,2025-03-31,5.0,2.0895,2.0895,True,True,57.6086956521739,4,0.25,5,1
25,AIR.PA,AIR,2024-12-31,4.043269,2024-12-31,3.571429,2024-12-31,4.25,0.7992,0.7992,False,True,87.1212121212121,3,0.25,5,0.75
26,OREP.PA,OR,2024-12-31,4.014151,2024-12-31,3.625,2024-12-31,3.75,0.0,0.0,True,True,83.1730769230769,5,0.25,5,0.75
27,LSEG.L,LSEG,2025-12-31,4.5,2025-12-31,4.5,2025-12-31,4.5,0.0,0.0,False,False,,0,0,5,0.75
28,ENR1n.DE,ENR,2024-09-30,3.413793,2024-09-30,3.333333,2024-09-30,3.4,41.2171,39.6727,False,True,73.1958762886598,3,0.25,5,1
29,SAPG.DE,SAP,2025-12-31,3.876161,2025-12-31,4.25,2025-12-31,4.0,34.284,34.284,False,True,,3,0,3,0.75
30,ABBN.S,ABBN,2025-12-31,3.96875,2025-12-31,3.285714,2025-12-31,4.625,16.3059,16.3059,False,True,84.2296511627907,3,0.25,5,0.75
31,CFR.S,CFR,2025-03-31,3.556604,2025-03-31,3.5,2025-03-31,4.0,0.0,0.0,False,True,81.4814814814815,3,0.25,4,0.75
32,AIRP.PA,AI,2024-12-31,3.617021,2024-12-31,3.142857,2024-12-31,4.0,9.9884,7.6202,True,True,75.8620689655172,5,0.25,5,1
33,DTEGn.DE,DTE,2024-12-31,3.70751,2024-12-31,5.0,2024-12-31,3.454545,0.0,0.0,False,True,83.2547169811321,3,0,3,0.75
34,ABI.BR,ABI,2024-12-31,3.034091,2024-12-31,3.0,2024-12-31,3.125,0.0,0.0,False,False,70.4166666666667,2,0.75,3,0.75
35,SCHN.PA,SU,2024-12-31,4.452138,2024-12-31,4.857143,2024-12-31,3.846154,74.0,74.0,True,True,85.1585014409222,4,0.25,5,0.75
36,BNPP.PA,BNP,2024-12-31,3.889262,2024-12-31,4.0,2024-12-31,3.785714,0.0,0.0,False,True,,3,0,5,0.75
37,NOVOb.CO,NOVO B,2025-12-31,3.164786,2025-12-31,2.857143,2025-12-31,3.230769,0.0,0.0,True,True,85.4875283446712,4,0.25,4,0.75
38,IBE.MC,IBE,2024-12-31,4.074468,2024-12-31,4.142857,2024-12-31,3.7,19.2496,17.2873,True,True,61.2244897959184,5,0.25,5,1
39,RHMG.DE,RHM,2024-12-31,3.024038,2024-12-31,2.857143,2024-12-31,3.25,0.0,0.0,False,False,87.1212121212121,3,0.25,3,0.75
40,LVMH.PA,MC,2024-12-31,2.978774,2024-12-31,2.625,2024-12-31,1.625,0.0,0.0,True,True,83.030303030303,4,0.25,5,0.75
41,MUVGn.DE,MUV2,2024-12-31,3.637584,2024-12-31,4.0,2024-12-31,3.714286,0.0,0.0,False,False,,2,0,3,0.75
42,BP.L,BP.,2025-12-31,3.996024,2025-12-31,3.857143,2025-12-31,4.153846,3.928,3.928,False,True,65.1079136690647,3,0.75,5,1
43,SAN.MC,SAN,2025-12-31,4.184564,2025-12-31,5.0,2025-12-31,4.071429,0.0,0.0,False,False,,3,0,4,0.75
44,GSK.L,GSK,2024-12-31,4.363431,2024-12-31,4.142857,2024-12-31,4.538462,0.0,0.0,True,True,85.7461024498886,4,0.25,5,0.75
45,SIEGn.DE,SIE,2025-09-30,3.760223,2025-09-30,3.625,2025-09-30,3.214286,28.6161,28.6161,True,True,84.2296511627907,5,0.25,5,1
46,HRMS.PA,RMS,2024-12-31,2.919811,2024-12-31,3.125,2024-12-31,1.75,0.0,0.0,True,True,83.030303030303,4,0.25,4,0.75
47,NESN.S,NESN,2024-12-31,3.636364,2024-12-31,3.714286,2024-12-31,3.5,7.0274,,True,True,74.3847874720358,4,0.75,4,0.75
48,SAF.PA,SAF,2024-12-31,2.778846,2024-12-31,2.857143,2024-12-31,2.5,7.8271,,False,False,0.0,0,0.25,3,0.75
49,SGEF.PA,DG,2024-12-31,3.12233,2024-12-31,3.0,2024-12-31,2.769231,6.7025,5.9852,True,True,75.1515151515151,5,0.25,4,1
