,Instrument,Ticker Symbol,Issuer Name,ISIN,Exchange Code,Country of Exchange,Country of Headquarters,GICS Sector Name,GICS Sector Code,GICS Industry Name,GICS Industry Code,GICS Sub-Industry Name
0,ALVG.DE,ALV,,DE0008404005,GER,Germany,Germany,Financials,40,Insurance,403010,Multi-line Insurance
1,ZURN.S,ZURN,,CH0011075394,VTX,Switzerland,Switzerland,Financials,40,Insurance,403010,Multi-line Insurance
2,BBVA.MC,BBVA,,ES0113211835,MCE,Spain,Spain,Financials,40,Banks,401010,Diversified Banks
3,REL.L,REL,,GB00B2B0DG97,LSE,United Kingdom,United Kingdom,Industrials,20,Professional Services,202020,Research & Consulting Services
4,HSBA.L,HSBA,,GB0005405286,LSE,United Kingdom,United Kingdom,Financials,40,Banks,401010,Diversified Banks
5,RR.L,RR.,,GB00B63H8491,LSE,United Kingdom,United Kingdom,Industrials,20,Aerospace & Defense,201010,Aerospace & Defense
6,AXAF.PA,CS,,FR0000120628,PAR,France,France,Financials,40,Insurance,403010,Multi-line Insurance
7,ENEI.MI,ENEL,,IT0003128367,MIL,Italy,Italy,Utilities,55,Electric Utilities,551010,Electric Utilities
8,SASY.PA,SAN,,FR0000120578,PAR,France,France,Health Care,35,Pharmaceuticals,352020,Pharmaceuticals
9,ASML.AS,ASML,,NL0010273215,AEX,Netherlands,Netherlands,Information Technology,45,Semiconductors & Semiconductor Equipment,453010,Semiconductor Materials & Equipment
10,ULVR.L,ULVR,,GB00BVZK7T90,LSE,United Kingdom,United Kingdom,Consumer Staples,30,Personal Care Products,303020,Personal Care Products
11,UBSG.S,UBSG,,CH0244767585,VTX,Switzerland,Switzerland,Financials,40,Capital Markets,402030,Diversified Capital Markets
12,CRDI.MI,UCG,,IT0005239360,MIL,Italy,Italy,Financials,40,Banks,401010,Diversified Banks
13,RIO.L,RIO,,GB0007188757,LSE,United Kingdom,United Kingdom,Materials,15,Metals & Mining,151040,Diversified Metals & Mining
14,TTEF.PA,TTE,,FR0000120271,PAR,France,France,Energy,10,"Oil, Gas & Consumable Fuels",101020,Integrated Oil & Gas
15,AZN.L,AZN,,GB0009895292,LSE,United Kingdom,United Kingdom,Health Care,35,Pharmaceuticals,352020,Pharmaceuticals
16,BATS.L,BATS,,GB0002875804,LSE,United Kingdom,United Kingdom,Consumer Staples,30,Tobacco,302030,Tobacco
17,ESLX.PA,EL,,FR0000121667,PAR,France,France,Health Care,35,Health Care Equipment & Supplies,351010,Health Care Supplies
18,INGA.AS,INGA,,NL0011821202,AEX,Netherlands,Netherlands,Financials,40,Banks,401010,Diversified Banks
19,ROPC.S,ROP,,CH1499059983,VTX,Switzerland,Switzerland,Health Care,35,Pharmaceuticals,352020,Pharmaceuticals
20,NOVN.S,NOVN,,CH0012005267,VTX,Switzerland,Switzerland,Health Care,35,Pharmaceuticals,352020,Pharmaceuticals
21,ISP.MI,ISP,,IT0000072618,MIL,Italy,Italy,Financials,40,Banks,401010,Diversified Banks
22,PRX.AS,PRX,,NL0013654783,AEX,Netherlands,Netherlands,Consumer Discretionary,25,Broadline Retail,255030,Broadline Retail
23,SHEL.AS,SHELL,,GB00BP6MXD84,AEX,Netherlands,United Kingdom,Energy,10,"Oil, Gas & Consumable Fuels",101020,Integrated Oil & Gas
24,NG.L,NG.,,GB00BDR05C01,LSE,United Kingdom,United Kingdom,Utilities,55,Multi-Utilities,551030,Multi-Utilities
25,AIR.PA,AIR,,NL0000235190,PAR,France,Netherlands,Industrials,20,Aerospace & Defense,201010,Aerospace & Defense
26,OREP.PA,OR,,FR0000120321,PAR,France,France,Consumer Staples,30,Personal Care Products,303020,Personal Care Products
27,LSEG.L,LSEG,,GB00B0SWJX34,LSE,United Kingdom,United Kingdom,Financials,40,Capital Markets,402030,Financial Exchanges & Data
