,DocumentTitle,RIC,IssueISIN,SEDOL,TickerSymbol,IssuerOAPermID
ALVG.DE,"Allianz SE, Ordinary Share, Xetra",ALVG.DE,DE0008404005,,ALV,4295870171
ZURN.S,"Zurich Insurance Group AG, Ordinary Share, SIX Swiss Exchange",ZURN.S,CH0011075394,5983816,ZURN,4295890717
BBVA.MC,"Banco Bilbao Vizcaya Argentaria SA, Ordinary Share, BME SPANISH EXCHANGE",BBVA.MC,ES0113211835,5501906,BBVA,4295889577
REL.L,"Relx PLC, Ordinary Share, London Stock Exchange",REL.L,GB00B2B0DG97,B2B0DG9,REL,4295894769
HSBA.L,"HSBC Holdings PLC, Ordinary Share, London Stock Exchange",HSBA.L,GB0005405286,0540528,HSBA,8589934275
RR.L,"Rolls-Royce Holdings PLC, Ordinary Share, London Stock Exchange",RR.L,GB00B63H8491,B63H849,RR.,5033562382
AXAF.PA,"AXA SA, Ordinary Share, Euronext Paris",AXAF.PA,FR0000120628,7088429,CS,4295867483
ENEI.MI,"Enel SpA, Ordinary Share, Milan Stock Exchange",ENEI.MI,IT0003128367,7144569,ENEL,4295875798
SASY.PA,"Sanofi SA, Ordinary Share, Euronext Paris",SASY.PA,FR0000120578,5671735,SAN,4295868215
ASML.AS,"ASML Holding NV, Ordinary Share, Euronext Amsterdam",ASML.AS,NL0010273215,B929F46,ASML,4295884869
ULVR.L,"Unilever PLC, Ordinary Share, London Stock Exchange",ULVR.L,GB00BVZK7T90,BVZK7T9,ULVR,4295894770
UBSG.S,"UBS Group AG, Ordinary Share, SIX Swiss Exchange",UBSG.S,CH0244767585,BRJL176,UBSG,5043337560
CRDI.MI,"UniCredit SpA, Ordinary Share, Milan Stock Exchange",CRDI.MI,IT0005239360,BYMXPS7,UCG,4295875726
RIO.L,"Rio Tinto PLC, Ordinary Share, London Stock Exchange",RIO.L,GB0007188757,0718875,RIO,4295894786
TTEF.PA,"TotalEnergies SE, Ordinary Share, Euronext Paris",TTEF.PA,FR0000120271,B15C557,TTE,5001170594
AZN.L,"AstraZeneca PLC, Ordinary Share, London Stock Exchange",AZN.L,GB0009895292,0989529,AZN,4295894341
BATS.L,"British American Tobacco plc, Ordinary Share, London Stock Exchange",BATS.L,GB0002875804,0287580,BATS,4295894777
ESLX.PA,"Essilorluxottica SA, Ordinary Share, Euronext Paris",ESLX.PA,FR0000121667,7212477,EL,4295867261
INGA.AS,"ING Groep NV, Ordinary Share, Euronext Amsterdam",INGA.AS,NL0011821202,BZ57390,INGA,4295884647
ROPC.S,"Roche Holding AG, Participation Share, SIX Swiss Exchange",ROPC.S,CH1499059983,BTMJD19,ROP,4295890594
NOVN.S,"Novartis AG, Ordinary Share, SIX Swiss Exchange",NOVN.S,CH0012005267,7103065,NOVN,4295890628
ISP.MI,"Intesa Sanpaolo SpA, Ordinary Share, Milan Stock Exchange",ISP.MI,IT0000072618,4076836,ISP,4295875735
PRX.AS,"Prosus NV, Ordinary Share, Class N, Euronext Amsterdam",PRX.AS,NL0013654783,BJDS7L3,PRX,5001167004
SHEL.AS,"Shell PLC, Ordinary Share, Euronext Amsterdam",SHEL.AS,GB00BP6MXD84,BP6MXT4,SHELL,4295885039
NG.L,"National Grid PLC, Ordinary Share, London Stock Exchange",NG.L,GB00BDR05C01,BDR05C0,NG.,4295894468
AIR.PA,"Airbus SE, Ordinary Share, Euronext Paris",AIR.PA,NL0000235190,4012250,AIR,4295884955
OREP.PA,"L'Oreal SA, Ordinary Share, Euronext Paris",OREP.PA,FR0000120321,4057808,OR,4295867384
LSEG.L,"London Stock Exchange Group PLC, Ordinary Share, London Stock Exchange",LSEG.L,GB00B0SWJX34,B0SWJX3,LSEG,4298007752
ENR1n.DE,"Siemens Energy AG, Ordinary Share, Xetra",ENR1n.DE,DE000ENER6Y0,BMTVQK9,ENR,5000103308
SAPG.DE,"SAP SE, Ordinary Share, Xetra",SAPG.DE,DE0007164600,,SAP,5043321284
ABBN.S,"Abb Ltd, Ordinary Share, SIX Swiss Exchange",ABBN.S,CH0012221716,7108899,ABBN,4295890743
CFR.S,"Compagnie Financiere Richemont SA, Ordinary Share, SIX Swiss Exchange",CFR.S,CH0210483332,BCRWZ18,CFR,4295890532
AIRP.PA,"L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes George, Ordinary Share, Euronext Paris",AIRP.PA,FR0000120073,B1YXBJ7,AI,4295867366
DTEGn.DE,"Deutsche Telekom AG, Ordinary Share, Xetra",DTEGn.DE,DE0005557508,,DTE,4295870332
ABI.BR,"Anheuser-Busch Inbev SA, Ordinary Share, Euronext Brussels",ABI.BR,BE0974293251,BYYHL23,ABI,4295859326
SCHN.PA,"Schneider Electric SE, Ordinary Share, Euronext Paris",SCHN.PA,FR0000121972,4834108,SU,4295866940
BNPP.PA,"BNP Paribas SA, Ordinary Share, Euronext Paris",BNPP.PA,FR0000131104,7309681,BNP,8589934326
NOVOb.CO,"Novo Nordisk A/S, Ordinary Share, Class B, OMX Nordic Exchange Copenhagen A/S",NOVOb.CO,DK0062498333,BP6KMJ1,NOVO B,4295865996
IBE.MC,"Iberdrola SA, Ordinary Share, BME SPANISH EXCHANGE",IBE.MC,ES0144580Y14,B288C92,IBE,4295889602
RHMG.DE,"Rheinmetall AG, Ordinary Share, Xetra",RHMG.DE,DE0007030009,,RHM,4295869123
LVMH.PA,"LVMH Moet Hennessy Louis Vuitton SE, Ordinary Share, Euronext Paris",LVMH.PA,FR0000121014,4061412,MC,4295866862
MUVGn.DE,"Muenchener Rueckversicherungs-Gesellschaft in Muenchen AG, Ordinary Share, Xetra",MUVGn.DE,DE0008430026,,MUV2,4295868986
BP.L,"BP PLC, Ordinary Share, London Stock Exchange",BP.L,GB0007980591,0798059,BP.,4295894740
SAN.MC,"Banco Santander SA, Ordinary Share, BME SPANISH EXCHANGE",SAN.MC,ES0113900J37,5705946,SAN,8589934205
GSK.L,"GSK plc, Ordinary Share, London Stock Exchange",GSK.L,GB00BN7SWP63,BN7SWP6,GSK,4295895781
SIEGn.DE,"Siemens AG, Ordinary Share, Xetra",SIEGn.DE,DE0007236101,,SIE,4295869238
HRMS.PA,"Hermes International SCA, Ordinary Share, Euronext Paris",HRMS.PA,FR0000052292,5253973,RMS,4295868440
NESN.S,"Nestle SA, Ordinary Share, SIX Swiss Exchange",NESN.S,CH0038863350,7123870,NESN,4295890634
SAF.PA,"Safran SA, Ordinary Share, Euronext Paris",SAF.PA,FR0000073272,B058TZ6,SAF,4295867343
SGEF.PA,"Vinci SA, Ordinary Share, Euronext Paris",SGEF.PA,FR0000125486,B1XH026,DG,4295867538
