,Instrument,Date,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score
0,AAF.L,2024-03-31,61.8380683618213,58.7400854596516,66.4716910234394,54.9202009154616
1,AAL.L,2024-12-31,73.880717818754,63.8919887953191,82.3116022436289,74.3806132782436
2,ABF.L,2025-09-13,69.0587869917593,85.16226253409,65.1567275870333,58.0868554222496
3,ADML.L,2024-12-31,53.0315267441714,66.5888248066669,37.8563690258956,66.2167780613278
4,ALWA.L,2024-12-31,56.0472674298598,60.7008815571266,57.8848436881678,53.7587799246567
5,ANTO.L,2024-12-31,74.2284389107818,77.4518976462232,85.9166869893916,50.4524081500385
6,AUTOA.L,2025-03-31,67.2490164631684,63.9397387347606,58.0901645030142,76.1285889696011
7,AV.L,2024-12-31,66.3844957076994,87.2981479169685,64.0459717247783,62.1415562846842
8,AZN.L,2024-12-31,92.5929054108202,88.9057303456037,96.0815974331654,90.0831773808077
9,BAB.L,2025-03-31,52.2370268110114,53.6559588187289,43.4143810424548,63.1560631582844
10,BAES.L,2024-12-31,57.9368883151424,61.764014444633,67.5524054829213,42.0959614371937
11,BARC.L,2024-12-31,84.2902365151137,93.4920962026162,81.5352926934934,84.4051930165674
12,BATS.L,2025-12-31,89.6790147664292,93.3595483676991,93.6398320274501,78.7870157596015
13,BBOXT.L,2024-12-31,59.2284292592617,85.8015397340727,63.2205422346515,24.4783165228663
14,BEZG.L,2024-12-31,65.4458870059172,60.3609786182931,52.5705618887127,82.1620691051971
15,BGEO.L,2024-12-31,62.3593377419958,49.1324533336285,50.6136627979269,83.8330214282821
16,BKGH.L,2025-04-30,77.9589966011436,74.9270752772507,84.1704275987241,72.1692524259949
17,BLND.L,2025-03-31,76.4501141483355,90.991151648634,65.6073747507817,69.6656979434685
18,BNZL.L,2024-12-31,48.0568668024056,35.2484472049689,48.0237154150198,60.0578037023535
19,BP.L,2024-12-31,85.3319669615547,88.9495352459764,81.5261832893784,86.8131810264512
20,BRBY.L,2025-03-29,86.5808507601944,92.7901531527817,83.5338781558166,86.8617246798762
21,BT.L,2025-03-31,64.4229795079155,82.4298672342151,66.0076402329189,47.4395737970511
22,BTRW.L,2025-06-29,64.8395134200499,64.0505885000719,68.6499495504607,59.8954325450447
23,CCEPC.L,2024-12-31,77.9761573954395,76.2179908874244,79.5449477251503,77.2011260987564
24,CCH.L,2024-12-31,85.3941835581994,82.1558995592546,88.463681381755,83.6356589147287
25,CNA.L,2024-12-31,72.1810390912715,67.46632996633,74.3871438638881,77.5054320087495
26,CPG.L,2024-09-30,75.3088804521896,73.2262995264476,78.027356829922,73.1054887187589
27,CRDA.L,2024-12-31,72.7956612290573,77.411847223635,85.5451944707522,43.0370235346538
28,CTEC.L,2024-12-31,74.43488507213,48.4647410876919,91.5210237377259,64.0575363551667
29,DCC.L,2024-03-31,35.6871946691615,31.5376421653214,28.7780525050226,53.0197530864198
30,DGE.L,2024-06-30,74.1838914602194,72.6365952001545,81.6011535666769,62.4011260987564
31,DPLM.L,2025-09-30,38.8406771965067,17.4282398384296,48.3431763742775,52.0767697709001
32,EDV.L,2024-12-31,82.3501682878785,68.5879916338066,85.9692293622729,96.1447158423462
33,ENT.L,2023-12-31,77.0356387151886,58.919446968328,84.5957795734308,82.0
34,EXPN.L,2025-03-31,72.5390946492815,61.2625254793183,71.6544868861116,81.563025210084
35,FCIT.L,2024-12-31,30.2099808806668,32.2859387274155,50.4600316580926,14.8322517924414
36,FRES.L,2024-12-31,57.6808576900135,43.9881609242381,85.1957992927692,32.2131243164418
37,GAW.L,2025-06-01,32.957950337929,28.0046597503077,28.0463939432875,41.5684765659776
38,GLEN.L,2024-12-31,86.119090250131,80.6289660785334,92.1726069991465,84.0672268907563
39,GSK.L,2024-12-31,89.9820634463528,82.6220140618874,96.1888801855917,86.1036902013205
40,HLMA.L,2025-03-31,61.6996041318679,42.1101903503193,70.6679340507741,77.4501513023994
41,HLN.L,2024-12-31,60.7276831820563,61.7270229770229,54.327133135376,69.5601004577308
42,HSBA.L,2024-12-31,73.8786187044568,94.0807551512241,66.2630871747091,76.2902742334022
43,HSX.L,2024-12-31,66.5253547859305,26.5301782195063,54.1171379071348,94.3333333333333
44,HWDN.L,2024-12-28,50.9781258878748,47.8368226041098,49.2818352450305,57.7193421638919
45,ICAG.L,2024-12-31,79.2042024264728,74.5199898141075,72.8776780504071,93.6708860759494
46,ICGIN.L,2025-03-31,74.1224496383519,47.0616825733474,70.7529607034612,85.0860259695385
47,IGG.L,2024-05-31,57.9640504598503,63.4936389548565,55.7792560717167,58.1501113946612
48,IHG.L,2024-12-31,73.8126013278443,82.7442674971608,78.1313615533548,59.2959614371936
49,III.L,2025-03-31,70.7038460110468,87.3285613290915,59.7003291245139,75.0082901198167
50,IMB.L,2024-09-30,73.3873209695995,78.9559756249223,60.9668570128913,88.7216024628347
51,IMI.L,2024-12-31,73.3934460037526,78.2833281971935,54.3658186825366,92.4729209705513
52,INF.L,2024-12-31,74.107226804682,75.9337170116213,77.36159804246,68.6703204115526
53,ITRK.L,2024-12-31,73.0550483978061,79.6250490833211,70.9408685867559,71.1574998987321
54,JD.L,2025-02-01,44.3767002069497,55.4204375667546,43.5523972000023,39.7707237569889
55,KGF.L,2024-01-31,74.327875614481,76.6354327770215,72.1712417631823,75.5703568679872
56,LAND.L,2025-03-31,86.4826072662868,92.2556866246605,91.7413241606852,74.8099971528881
57,LGEN.L,2024-12-31,73.9597874421546,84.8102425814492,68.6379214713966,76.5518126949407
