,DocumentTitle,RIC,IssueISIN,SEDOL,TickerSymbol,IssuerOAPermID,FundClassLipperID
AAF.L,"Airtel Africa PLC, Ordinary Share, London Stock Exchange",AAF.L,GB00BKDRYJ47,BKDRYJ4,AAF,5066574810,
AAL.L,"Anglo American PLC, Ordinary Share, London Stock Exchange",AAL.L,GB00BTK05J60,BTK05J6,AAL,4295896494,
ABF.L,"Associated British Foods PLC, Ordinary Share, London Stock Exchange",ABF.L,GB0006731235,0673123,ABF,4295894968,
ADML.L,"Admiral Group PLC, Ordinary Share, London Stock Exchange",ADML.L,GB00B02J6398,B02J639,ADM,4295897802,
ALWA.L,"Alliance Witan PLC, Ordinary Share, London Stock Exchange",ALWA.L,GB00B11V7W98,B11V7W9,ALW,4295895691,71000040
ANTO.L,"Antofagasta PLC, Ordinary Share, London Stock Exchange",ANTO.L,GB0000456144,0045614,ANTO,4295898060,
AUTOA.L,"Autotrader Group PLC, Ordinary Share, London Stock Exchange",AUTOA.L,GB00BVYVFW23,BVYVFW2,AUTO,5045390794,
AV.L,"Aviva PLC, Ordinary Share, London Stock Exchange",AV.L,GB00BPQY8M80,BPQY8M8,AV.,8589934340,
AZN.L,"AstraZeneca PLC, Ordinary Share, London Stock Exchange",AZN.L,GB0009895292,0989529,AZN,4295894341,
BAB.L,"Babcock International Group PLC, Ordinary Share, London Stock Exchange",BAB.L,GB0009697037,0969703,BAB,4295894176,
BAES.L,"BAE Systems PLC, Ordinary Share, London Stock Exchange",BAES.L,GB0002634946,0263494,BA.,5000001291,
BARC.L,"Barclays PLC, Ordinary Share, London Stock Exchange",BARC.L,GB0031348658,3134865,BARC,8589934333,
BATS.L,"British American Tobacco plc, Ordinary Share, London Stock Exchange",BATS.L,GB0002875804,0287580,BATS,4295894777,
BBOXT.L,"Tritax Big Box Reit PLC, Ordinary Share, London Stock Exchange",BBOXT.L,GB00BG49KP99,BG49KP9,BBOX,5040692244,68410550
BEZG.L,"Beazley PLC, Ordinary Share, London Stock Exchange",BEZG.L,GB00BYQ0JC66,BYQ0JC6,BEZ,5050718643,
